target_id,parameters,units,manual_value,notes
A_cell,A_cell,micrometer^2,572.555,Surface area of the Cancer cell calculated based on the average cancer cell diameter (?)
APC_PDL1_base,APC_PDL1_base,molecule,0-10e4 15,"baseline number of PDL1 molecules per APC cell (Cheng 2014, PMID: 23417675; Mkrtichyan 2012, PMID: 22837483; Shin 2017, PMID: 27903500; Gatalica 2014,"
C_CD47,C_CD47,molecule/micrometer^2,147-665 20,"CD47 expression on cancer cells (Morrissey 2020, PMID: 32768386)"
C_max,C_max,cell,1e10 13,Cancer cell capacity estimated
C1_PDL1_base,C1_PDL1_base,molecule,5e4 - 2.7e5,"baseline number of PDL1 molecules per C1 cell (Cheng 2014, PMID: 23417675; Mkrtichyan 2012, PMID: 22837483; Shin 2017, PMID: 27903500; Gatalica 2014, "
gamma_T_aCTLA4,gamma_T_aCTLA4,dimensionless,0.446-0.918,"Volume fraction of interstitial space available to aCTLA4 in tumor compartment(Coughlin 2010, PMID: 20125040; Finley 2015, PMID: 26783500)"
gamma_T_aPD1,gamma_T_aPD1,dimensionless,0.446-0.918,"Volume fraction of interstitial space available to aPD1 in tumor compartment(Coughlin 2010, PMID: 20125040; Finley 2015, PMID: 26783500)"
gamma_T_aPDL1,gamma_T_aPDL1,dimensionless,0.446-0.918,"Volume fraction of interstitial space available to aPDL1 in tumor compartment(Coughlin 2010, PMID: 20125040; Finley 2015, PMID: 26783500)"
initial_tumour_diameter,initial_tumour_diameter,centimeter,1.43-3.03 9,Pre-treatment tumor diameter
k_C1_growth,k_C1_growth,1/day,0.0066 3,"Cancer cell growth rate (Ryu 2014, PMID: 24895040; Desai 2006, PMID: 16489089)"
k_CCL2_sec,k_CCL2_sec,nanomole/cell/day,1.7e-12,"rate of CCL2 secretion (Huang 2007, PMID: 17257744; Dutta 2018, PMID: 29594759)"
k_IFNg_Thsec,k_IFNg_Thsec,1/day,80.29521142666667,"IFNg secretion rate by T helper cell estimated assuming IFNg secretion is 3 times lower in CD4 than CD8 T cells (Kasahara 1983, PMID: 6403613)"
k_M1_pol,k_M1_pol,1/day,0.05 18,Rate of M2 to M1 macrophage polarization (estimated based on the M1/M2 ratio)
k_Mac_mig,k_Mac_mig,cell/(milliliter*day),175000 17,"Recruitment rate of macrophage into tumor compartment (Yang 2018, PMID: 30026826)"
