name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
k_Treg_pro,0.05,1/day,lognormal,-2.995732273553991,1.2,0.004535897664470626,0.5511588190320801
k_Treg_death,0.1,1/day,lognormal,-2.3025850929940455,1.2,0.009071795328941252,1.1023176380641602
q_CD8_T_in,5.8e-05,1/(centimeter^3*minute),lognormal,-9.755067547417855,1.2,5.261641290785926e-06,0.0006393442300772128
q_Treg_T_in,5.8e-05,1/(centimeter^3*minute),lognormal,-9.755067547417855,1.2,5.261641290785926e-06,0.0006393442300772128
k_TGFb_Tsec,1.2e-10,nanomole/cell/day,lognormal,-22.843529373146502,0.7,2.959163567299278e-11,4.86623996021361e-10
k_CCL2_sec,2e-10,nanomole/cell/day,lognormal,-22.33270374938051,0.7,4.93193927883213e-11,8.11039993368935e-10
k_MDSC_rec,35000.0,cell/(milliliter*day),lognormal,10.46310334047155,0.7,8630.893737956227,141931.9988395636
k_Mac_rec,450000.0,cell/(milliliter*day),lognormal,13.017002861746503,0.7,110968.63377372292,1824839.9850801036
k_M2_pol,0.1,1/day,lognormal,-2.3025850929940455,1.0,0.013533528323661271,0.7389056098930651
k_M1_pol,0.045,1/day,lognormal,-3.101092789211817,1.0,0.006090087745647572,0.33250752445187925
k_CD8,0.1,1/day,lognormal,-2.3025850929940455,1.0,0.013533528323661271,0.7389056098930651
k_Tcell_ECM,0.02,1/day,lognormal,-3.912023005428146,1.0,0.0027067056647322543,0.147781121978613
initial_tumour_diameter,3.2,centimeter,lognormal,1.1631508098056809,1.0,0.4329189554988839,23.645063039883424
k_C1_growth,0.0066,1/day,lognormal,-5.0206856299497575,0.7,0.0016275399620146029,0.026764319781174852
K0,10300.0,cell,lognormal,9.239899174217728,0.7,2539.948728598547,41768.55965850015
N_IL2_CD4,8.5,dimensionless,lognormal,2.1400661634962708,0.5,3.12697524995726,23.105395541901885
N_IL2_CD8,11.0,dimensionless,lognormal,2.3978952727983707,0.5,4.046673852885865,29.901100113049495
n_CD8_clones,120.0,dimensionless,lognormal,4.787491742782046,1.2,10.88423838364222,1322.8378166571722
n_Treg_clones,100.0,dimensionless,lognormal,4.605170185988092,1.2,9.071795328941252,1102.3176380641601
ECM_50_Kmax,300.0,milligram/milliliter,lognormal,5.703782474656201,1.2,27.215385986823755,3306.9529141924804
k_ECM_apsc_sec,1.035e-06,milligram/(cell*day),lognormal,-13.78110913124694,0.7,2.552278576795627e-07,4.197131965684238e-06
k_ECM_qpsc_sec,3.45e-07,milligram/(cell*day),lognormal,-14.879721419915052,0.7,8.507595255985423e-08,1.3990439885614126e-06
k_psc_activation,0.6,1/day,lognormal,-0.5108256237659907,1.0,0.08120116994196762,4.43343365935839
f_ECM_50_T_exh,0.2,dimensionless,lognormal,-1.6094379124341005,1.0,0.027067056647322542,1.4778112197861302
f_ECM_50_T_mot,0.06,dimensionless,lognormal,-2.8134107167600364,1.0,0.008120116994196762,0.443343365935839
k_ECM_deg,0.035,1/day,lognormal,-3.3524072174927233,0.5,0.012875780441000483,0.09513986399606658
k_qpsc_death,0.0165,1/day,lognormal,-4.104394898075602,0.5,0.006070010779328799,0.04485165016957424
k_apsc_death,0.0165,1/day,lognormal,-4.104394898075602,0.5,0.006070010779328799,0.04485165016957424
R50_Treg,0.31,dimensionless,lognormal,-1.171182981502945,1.0,0.04195393780334994,2.2906073906685016
k_psc_encounter,1000000.0,cell/(milliliter*day),lognormal,13.815510557964274,1.0,135335.2832366127,7389056.09893065
k_psc_const,2000000.0,cell/milliliter,lognormal,14.50865773852422,1.0,270670.5664732254,14778112.1978613
k_vas_Csec,0.004,picogram/cell/day,lognormal,-5.521460917862246,0.7,0.000986387855766426,0.016220799867378698
k_vas_deg,16.6,1/day,lognormal,2.8094026953624978,0.5,6.1067987234459435,45.12347835242015
c_vas_50,2410.0,picogram/milliliter,lognormal,7.787382026484701,0.7,594.2986830992717,9773.031920095666
k_CD8_pro,1.0,1/day,lognormal,0.0,0.5,0.36787944117144233,2.718281828459045
k_CD8_death,0.01,1/day,lognormal,-4.605170185988091,0.5,0.0036787944117144234,0.027182818284590453
k_TGFb_sec_apsc,2e-11,nanomolarity*liter/(cell*day),lognormal,-24.635288842374557,1.0,2.7067056647322537e-12,1.47781121978613e-10
TGFbase,0.016,nanomolarity,lognormal,-4.135166556742356,0.7,0.003945551423065704,0.06488319946951479
